"","station","lat","long","sed_depth","TP_inv","TP_inv_0to4cm","bottom_depth","SAR","ref"
"1","BY2",54.98,14.1,3.5,20,98.0392156862745,47,1219,"Jilbert_etal2011"
"2","F80",58,19.89,3.5,21.9607843137255,NA,191,NA,"Jilbert_etal2011"
"3","LF1",57.98,21.28,3.5,7.45098039215686,38.6274509803922,67,1221,"Jilbert_etal2011"
"4","LF3",59.87,20.63,3.5,12.156862745098,56.6666666666667,95,578,"Jilbert_etal2011"
"5","LL19",58.88,20.31,3.5,16.078431372549,75.8823529411765,169,NA,"Jilbert_etal2011"
