"","station","lat","long","sed_depth","TP_inv","TP_inv_0to4cm","bottom_depth","SAR","ref"
"1","F26",62,19.6,3.5,19.0745098039216,78.1862745098039,137,1200,"Slomp_etal2013"
"2","SR1a",61.2,17.7,3.5,8.99607843137255,42.9862745098039,61,930,"Slomp_etal2013"
"3","SR5",61.1,19.6,3.5,22.3843137254902,69.8627450980392,124,1160,"Slomp_etal2013"
"4","SR7",61.1,20.6,3.5,6.86274509803922,29.4843137254902,77,270,"Slomp_etal2013"
"5","US2",62.8,18.9,3.5,30.1333333333333,114.986274509804,204,5250,"Slomp_etal2013"
